,playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP
25941,childro01,1987,1,HOU,NL,1,2,32,0,0,0,0,145,46,16,4,18,26,0.26,2.98,6.0,0,0.0,0,201.0,12,17,3.0,3.0,3.0,48.33
25942,ciardma01,1987,1,ML4,AL,1,1,4,3,0,0,0,49,26,17,5,9,8,0.361,9.37,0.0,3,0.0,0,81.0,0,17,0.0,0.0,2.0,16.33
25943,citarra01,1987,1,CHA,AL,0,0,5,0,0,0,0,33,13,9,4,4,9,0.302,7.36,0.0,0,2.0,0,49.0,2,9,0.0,0.0,2.0,11.0
25944,clancji01,1987,1,TOR,AL,15,11,37,37,5,1,0,724,234,95,24,80,180,0.255,3.54,5.0,12,1.0,1,1008.0,0,103,5.0,4.0,19.0,241.33
25945,clarkbr01,1987,1,CHA,AL,0,0,11,0,0,0,0,56,19,5,1,8,8,0.297,2.41,0.0,2,0.0,0,77.0,5,5,3.0,2.0,5.0,18.67
25946,clarkst02,1987,1,SEA,AL,2,2,22,0,0,0,0,69,31,14,7,10,13,0.333,5.48,1.0,3,0.0,0,107.0,9,14,1.0,3.0,1.0,23.0
25947,claryma01,1987,1,ATL,NL,0,1,7,1,0,0,0,44,20,10,2,4,7,0.328,6.14,0.0,0,1.0,0,68.0,2,13,1.0,1.0,1.0,14.67
25948,clearma01,1987,1,ML4,AL,8,5,58,1,0,0,6,235,70,39,9,55,81,0.239,4.48,3.0,3,5.0,0,360.0,37,46,2.0,5.0,4.0,78.33
25949,clemepa01,1987,1,NYA,AL,3,3,55,0,0,0,7,240,91,44,4,30,36,0.299,4.95,2.0,8,3.0,2,347.0,20,45,6.0,4.0,17.0,80.0
25950,clemero02,1987,1,BOS,AL,20,9,36,36,18,7,0,845,248,93,19,83,256,0.235,2.97,4.0,4,9.0,3,1157.0,0,100,6.0,4.0,14.0,281.67
25951,codirch01,1987,1,OAK,AL,0,2,3,3,0,0,0,34,12,11,1,8,4,0.273,8.74,0.0,2,1.0,0,54.0,0,11,1.0,0.0,1.0,11.33
25952,coffmke01,1987,1,ATL,NL,2,3,5,5,0,0,0,76,31,13,2,22,14,0.313,4.62,0.0,1,3.0,1,126.0,0,14,1.0,1.0,4.0,25.33
25953,comstke01,1987,1,SFN,NL,2,0,15,0,0,0,1,62,19,7,1,10,21,0.253,3.05,2.0,3,0.0,1,87.0,3,8,1.0,1.0,2.0,20.67
25954,comstke01,1987,2,SDN,NL,0,1,26,0,0,0,0,108,33,22,4,21,38,0.252,5.5,3.0,3,0.0,0,157.0,12,22,2.0,3.0,4.0,36.0
25955,coneda01,1987,1,NYN,NL,5,6,21,13,1,0,1,298,87,41,11,44,68,0.239,3.71,1.0,2,5.0,4,420.0,3,46,4.0,3.0,4.0,99.33
25956,conroti01,1987,1,SLN,NL,3,2,10,9,0,0,0,122,48,25,0,25,22,0.306,5.53,3.0,2,1.0,0,188.0,0,26,3.0,2.0,5.0,40.67
25957,cookmi01,1987,1,CAL,AL,1,2,16,1,0,0,0,103,34,21,7,18,27,0.264,5.5,0.0,3,0.0,1,148.0,6,21,1.0,0.0,4.0,34.33
25958,corbedo01,1987,1,BAL,AL,0,2,11,0,0,0,1,69,25,20,5,13,16,0.281,7.83,3.0,2,0.0,0,104.0,5,20,1.0,1.0,3.0,23.0
25959,correed01,1987,1,TEX,AL,3,5,15,15,0,0,0,210,83,59,17,52,61,0.297,7.59,2.0,9,4.0,0,339.0,0,63,1.0,2.0,2.0,70.0
25960,cowlejo01,1987,1,PHI,NL,0,4,5,4,0,0,0,35,21,20,2,17,5,0.389,15.43,1.0,0,2.0,0,73.0,0,26,0.0,0.0,2.0,11.67
25961,coxda01,1987,1,SLN,NL,11,9,31,31,2,0,0,598,224,86,17,71,101,0.29,3.88,6.0,5,3.0,1,864.0,0,99,14.0,4.0,25.0,199.33
25962,crawfst01,1987,1,BOS,AL,5,4,29,0,0,0,0,218,91,43,13,32,43,0.314,5.33,2.0,2,2.0,0,324.0,7,48,0.0,0.0,14.0,72.67
25963,creelke01,1987,1,TEX,AL,0,0,6,0,0,0,0,29,12,5,2,5,5,0.293,4.66,0.0,0,0.0,0,46.0,2,5,0.0,0.0,0.0,9.67
25964,crewsti01,1987,1,LAN,NL,1,1,20,0,0,0,3,87,30,8,2,8,20,0.268,2.48,1.0,0,2.0,0,124.0,7,9,1.0,1.0,2.0,29.0
25965,crimch01,1987,1,ML4,AL,6,8,53,5,0,0,12,390,133,53,15,39,56,0.266,3.67,5.0,2,3.0,1,549.0,18,60,6.0,1.0,17.0,130.0
25966,darliro01,1987,1,NYN,NL,12,8,32,32,2,0,0,623,183,99,24,96,167,0.233,4.29,3.0,6,3.0,3,891.0,0,111,5.0,3.0,14.0,207.67
25967,darwida01,1987,1,HOU,NL,9,10,33,30,3,1,0,587,184,78,17,69,134,0.246,3.59,12.0,3,5.0,1,833.0,0,87,8.0,3.0,9.0,195.67
25968,davisjo03,1987,1,CHA,AL,1,5,13,9,1,0,0,165,56,35,7,29,25,0.264,5.73,1.0,1,0.0,0,243.0,1,35,1.0,1.0,8.0,55.0
25969,davisjo04,1987,1,KCA,AL,5,2,27,0,0,0,2,131,29,11,0,26,24,0.195,2.27,4.0,2,2.0,0,181.0,12,13,0.0,4.0,5.0,43.67
25970,davisma01,1987,1,SFN,NL,4,5,20,11,1,0,0,212,72,37,9,28,51,0.273,4.71,1.0,4,4.0,2,301.0,1,38,3.0,2.0,9.0,70.67
25971,davisma01,1987,2,SDN,NL,5,3,43,0,0,0,2,187,51,22,5,31,47,0.224,3.18,7.0,2,2.0,0,265.0,17,26,4.0,0.0,5.0,62.33
25972,davisro02,1987,1,CHN,NL,0,0,21,0,0,0,0,97,43,21,8,12,31,0.328,5.85,1.0,1,0.0,2,144.0,6,23,0.0,1.0,5.0,32.33
25973,davisro02,1987,2,LAN,NL,0,0,4,0,0,0,0,12,7,3,0,6,1,0.412,6.75,2.0,2,1.0,0,25.0,2,4,0.0,1.0,2.0,4.0
25974,davisst02,1987,1,SDN,NL,2,7,21,10,0,0,0,188,70,43,5,36,37,0.28,6.18,6.0,7,2.0,1,292.0,5,48,2.0,2.0,4.0,62.67
25975,davisst02,1987,2,OAK,AL,1,1,5,5,0,0,0,91,28,11,3,11,28,0.241,3.26,0.0,2,0.0,0,128.0,0,13,0.0,1.0,2.0,30.33
