,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,IP,ERA,WAR
25,galvipu01,365.0,310.0,705.0,688.0,646.0,2.0,18010.0,6405.0,1903.0,121.0,745.0,1807.0,,,221.0,,2.0,25415.0,19.0,3352.0,,,,15,1,Veterans,6003.333333333333,2.8529150471960025,83.25
26,ruffire01,273.0,225.0,624.0,536.0,335.0,16.0,13032.0,4284.0,1833.0,254.0,1541.0,1987.0,5.930000000000001,,46.0,58.0,7.0,18579.0,71.0,2117.0,,,,22,1,Run Off,4344.0,3.7976519337016574,55.35
27,covelst01,215.0,142.0,450.0,385.0,224.0,21.0,9246.0,3055.0,990.0,66.0,802.0,981.0,3.63,,35.0,30.0,1.0,12746.0,52.0,1237.0,,,,14,1,Veterans,3082.0,2.890979883192732,66.58
28,hoytwa01,237.0,182.0,674.0,423.0,226.0,52.0,11287.0,4037.0,1500.0,154.0,1003.0,1206.0,6.69,,39.0,49.0,5.0,16123.0,175.0,1780.0,,,,21,1,Veterans,3762.3333333333335,3.588198812793479,54.11
29,haineje01,210.0,158.0,555.0,388.0,208.0,10.0,9626.0,3460.0,1298.0,165.0,871.0,981.0,5.27,,55.0,57.0,6.0,13644.0,95.0,1556.0,,,,19,1,Veterans,3208.6666666666665,3.6407645958861417,35.69
30,marquru01,201.0,177.0,536.0,404.0,197.0,19.0,9920.0,3233.0,1130.0,107.0,858.0,1593.0,,,81.0,39.0,5.0,13657.0,82.0,1443.0,,,,18,1,Veterans,3306.6666666666665,3.0756048387096775,34.71
31,koufasa01,165.0,87.0,397.0,314.0,137.0,9.0,6973.0,1754.0,713.0,204.0,817.0,2396.0,2.5,48.0,87.0,18.0,7.0,9497.0,44.0,806.0,,,,12,1,BBWAA,2324.3333333333335,2.7607916248386632,53.07
32,wynnea01,300.0,244.0,691.0,612.0,290.0,15.0,13692.0,4291.0,1796.0,338.0,1775.0,2334.0,5.7,,51.0,64.0,2.0,19408.0,66.0,2037.0,,,,23,1,BBWAA,4564.0,3.541630148992112,51.53
33,gomezle01,189.0,102.0,368.0,320.0,173.0,9.0,7509.0,2290.0,930.0,138.0,1095.0,1468.0,3.45,,39.0,19.0,0.0,10729.0,31.0,1091.0,,,,14,1,Veterans,2503.0,3.34398721534159,43.18
34,spahnwa01,363.0,245.0,750.0,665.0,382.0,29.0,15731.0,4830.0,1798.0,434.0,1434.0,2583.0,5.41,,81.0,42.0,5.0,21547.0,68.0,2016.0,,,,21,1,BBWAA,5243.666666666667,3.0860085182124464,92.48
35,welchmi01,307.0,210.0,565.0,549.0,525.0,4.0,14406.0,4588.0,1447.0,106.0,1297.0,1850.0,,,274.0,,1.0,20308.0,16.0,2556.0,,,,13,1,Veterans,4802.0,2.7119950020824657,63.11
36,fordwh01,236.0,106.0,498.0,438.0,156.0,10.0,9511.0,2766.0,967.0,228.0,1086.0,1956.0,3.7,,75.0,28.0,5.0,13036.0,35.0,1107.0,,,,16,1,BBWAA,3170.3333333333335,2.7451372095468405,53.57
37,roberro01,286.0,245.0,676.0,609.0,305.0,25.0,14066.0,4582.0,1774.0,505.0,902.0,2357.0,5.39,,33.0,54.0,3.0,19174.0,49.0,1962.0,,,,19,1,BBWAA,4688.666666666667,3.405232475472771,83.0
38,lemonbo01,207.0,128.0,460.0,350.0,188.0,22.0,8550.0,2559.0,1024.0,181.0,1251.0,1277.0,3.2,,63.0,57.0,2.0,12099.0,73.0,1185.0,,,,13,1,BBWAA,2850.0,3.2336842105263157,37.54
39,gibsobo01,251.0,174.0,528.0,482.0,255.0,6.0,11653.0,3279.0,1258.0,257.0,1336.0,3117.0,3.943000000000001,118.0,108.0,102.0,13.0,16068.0,21.0,1420.0,,,,17,1,BBWAA,3884.3333333333335,2.914785892044967,81.7
40,maricju01,243.0,142.0,471.0,457.0,244.0,2.0,10522.0,3153.0,1126.0,320.0,709.0,2303.0,3.951000000000001,82.0,51.0,40.0,20.0,14236.0,11.0,1329.0,,,,16,1,BBWAA,3507.3333333333335,2.8893746436038774,61.78
41,drysddo01,209.0,166.0,518.0,465.0,167.0,6.0,10296.0,3084.0,1124.0,280.0,855.0,2486.0,3.36,123.0,82.0,154.0,10.0,14097.0,34.0,1292.0,,,,14,1,BBWAA,3432.0,2.9475524475524475,61.339999999999996
42,wilheho01,143.0,122.0,1070.0,52.0,20.0,227.0,6763.0,1757.0,632.0,150.0,778.0,1610.0,5.578,,90.0,62.0,4.0,9164.0,651.0,773.0,,,,21,1,BBWAA,2254.3333333333335,2.523140618068904,49.68
43,hunteca01,224.0,166.0,500.0,476.0,181.0,1.0,10348.0,2958.0,1248.0,374.0,954.0,2012.0,3.5000000000000004,57.0,49.0,49.0,7.0,14032.0,6.0,1380.0,,,,15,1,BBWAA,3449.3333333333335,3.2562814070351758,36.3
44,palmeji01,268.0,152.0,558.0,521.0,211.0,4.0,11844.0,3349.0,1253.0,303.0,1311.0,2212.0,4.472,37.0,85.0,38.0,11.0,16114.0,15.0,1395.0,,,,19,1,BBWAA,3948.0,2.856382978723404,67.57
45,perryga01,314.0,265.0,777.0,690.0,303.0,11.0,16051.0,4938.0,1846.0,399.0,1379.0,3534.0,6.348999999999999,164.0,160.0,108.0,6.0,21953.0,33.0,2128.0,,,,22,1,BBWAA,5350.333333333333,3.1052270886549125,93.03
46,jenkife01,284.0,226.0,664.0,594.0,267.0,7.0,13502.0,4142.0,1669.0,484.0,997.0,3192.0,4.836000000000001,116.0,62.0,84.0,18.0,18400.0,37.0,1853.0,,,,19,1,BBWAA,4500.666666666667,3.337505554732632,82.18
