,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,WAR,TimeFrame,Name,cluster,num_of_20_wins,IP,ERA
491,hitchst01,74,76,281,200,10,3,3857,1374,685,181,471,997,4.218999999999999,25.0,61,42.0,11,5635.0,27,738,43.0,48.0,93.0,13,0.0,0,9.47,1992 - 2004,Sterling Hitchcock,2,0.0,1285.6666666666667,4.795177599170339
492,martipe02,219,100,476,409,46,3,8482,2221,919,239,760,3154,3.978,30.0,62,141.0,6,11394.0,23,1006,74.0,63.0,148.0,18,1.0,BBWAA,86.08,1992 - 2009,Pedro Martinez,2,2.0,2827.3333333333335,2.925371374675784
496,reynosh01,114,96,305,278,20,0,5375,1935,814,191,419,1403,3.882,33.0,38,41.0,8,7610.0,5,895,85.0,39.0,151.0,13,0.0,0,18.04,1992 - 2004,Shane Reynolds,2,0.0,1791.6666666666667,4.088930232558139
498,wakefti01,200,180,627,463,33,22,9679,3152,1582,418,1205,2156,4.832000000000002,33.0,134,186.0,8,13939.0,78,1791,51.0,109.0,232.0,19,0.0,0,34.54,1992 - 2011,Tim Wakefield,2,0.0,3226.3333333333335,4.413059200330612
500,anderbr02,82,83,291,245,12,1,4641,1743,814,264,337,723,4.021,28.0,22,23.0,28,6532.0,11,906,49.0,60.0,154.0,13,0.0,0,10.86,1993 - 2005,Brian Anderson,2,0.0,1547.0,4.735617323852618
502,hamptmi01,148,115,419,355,21,1,6805,2370,1024,200,901,1387,4.422000000000001,49.0,75,49.0,13,9824.0,12,1157,107.0,69.0,289.0,16,0.0,0,20.69,1993 - 2010,Mike Hampton,2,1.0,2268.3333333333335,4.062894930198383
506,oliveda02,118,98,766,229,11,7,5747,2037,960,216,720,1259,5.772,45.0,60,96.0,15,8346.0,121,1045,74.0,65.0,199.0,20,0.0,0,21.15,1993 - 2013,Darren Oliver,2,0.0,1915.6666666666667,4.510179223942926
507,rueteki01,130,92,340,336,4,0,5754,2092,911,220,582,818,3.842000000000001,41.0,24,25.0,0,8210.0,1,1004,93.0,60.0,218.0,13,0.0,0,15.97,1993 - 2005,Kirk Rueter,2,0.0,1918.0,4.274765380604797
508,seleaa01,148,112,404,352,15,0,6459,2413,1102,225,798,1407,4.295999999999999,39.0,54,112.0,2,9534.0,15,1208,53.0,90.0,197.0,15,0.0,0,19.95,1993 - 2007,Aaron Sele,2,0.0,2153.0,4.606595448211798
510,trachst01,143,159,420,417,20,0,7503,2587,1219,348,943,1591,4.945,63.0,64,52.0,16,10799.0,1,1327,96.0,94.0,193.0,16,0.0,0,24.75,1993 - 2008,Steve Trachsel,2,0.0,2501.0,4.386645341863255
511,williwo02,132,116,424,330,10,0,6649,2217,1031,309,711,1480,4.067,40.0,58,72.0,6,9475.0,34,1096,89.0,64.0,134.0,15,0.0,0,27.6,1993 - 2007,Woody Williams,2,0.0,2216.3333333333335,4.186644608211761
514,liebejo01,131,124,401,327,25,2,6594,2388,1043,285,422,1553,3.95,52.0,30,49.0,13,9300.0,18,1158,93.0,76.0,164.0,14,0.0,0,25.5,1994 - 2008,Jon Lieber,2,1.0,2198.0,4.270700636942675
515,limajo01,89,102,348,235,9,5,4703,1783,917,267,393,980,4.176,27.0,43,53.0,3,6790.0,40,972,64.0,58.0,115.0,13,0.0,0,6.21,1994 - 2006,Jose Lima,2,1.0,1567.6666666666667,5.264512013608335
