,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,WAR,TimeFrame,Name,cluster
65,nehfar01,184,120,451,319,182,13,8123,2715,964,107,640,844,4.800000000000001,0.0,34,40.0,3,11185.0,84,1164,0.0,0.0,0.0,15,0.0,0,24.71,1915 - 1929,Art Nehf,1
66,vanceda01,197,140,442,347,216,11,8900,2809,1068,132,840,2045,5.149999999999999,0.0,37,77.0,2,12369.0,53,1246,0.0,0.0,0.0,16,1.0,BBWAA,62.940000000000005,1915 - 1935,Dazzy Vance,1
67,grimebu01,270,212,616,497,314,18,12540,4412,1638,148,1295,1512,6.19,0.0,92,97.0,12,17959.0,94,2048,0.0,0.0,0.0,19,1.0,Veterans,46.73,1916 - 1934,Burleigh Grimes,1
68,shockur01,187,117,412,317,200,25,8045,2709,945,126,657,983,3.46,0.0,20,37.0,3,11140.0,68,1127,0.0,0.0,0.0,13,0.0,0,54.71,1916 - 1928,Urban Shocker,1
69,carlsha01,114,120,377,238,121,19,6006,2256,883,93,498,590,4.399999999999999,0.0,18,36.0,2,8522.0,96,1013,0.0,0.0,0.0,14,0.0,0,25.18,1917 - 1930,Hal Carlson,1
70,mayja01,72,95,410,161,70,19,4687,1645,673,35,617,765,3.91,0.0,31,88.0,4,6831.0,150,808,0.0,0.0,0.0,14,0.0,0,8.49,1917 - 1932,Jakie May,1
71,haineje01,210,158,555,388,208,10,9626,3460,1298,165,871,981,5.27,0.0,55,57.0,6,13644.0,95,1556,0.0,0.0,0.0,19,1.0,Veterans,35.69,1918 - 1937,Jesse Haines,1
72,hoytwa01,237,182,674,423,226,52,11287,4037,1500,154,1003,1206,6.69,0.0,39,49.0,5,16123.0,175,1780,0.0,0.0,0.0,21,1.0,Veterans,54.11,1918 - 1938,Waite Hoyt,1
73,sherdbi01,165,146,514,272,159,26,8128,3018,1120,149,661,839,4.88,0.0,26,54.0,3,11604.0,163,1326,0.0,0.0,0.0,15,0.0,0,27.65,1918 - 1932,Bill Sherdel,1
74,zachato01,186,191,533,409,186,22,9379,3580,1295,119,914,720,7.73,0.0,38,41.0,15,13551.0,84,1552,0.0,0.0,0.0,19,0.0,0,37.5,1918 - 1936,Tom Zachary,1
75,uhlege01,200,166,513,368,232,25,9359,3417,1384,119,966,1135,5.74,0.0,55,113.0,5,13639.0,114,1635,0.0,0.0,0.0,17,0.0,0,45.1,1919 - 1936,George Uhle,1
76,heimafr01,62,69,296,127,56,7,3866,1510,639,64,360,334,4.37,0.0,14,27.0,4,5674.0,104,755,0.0,0.0,0.0,13,0.0,0,5.61,1920 - 1933,Fred Heimach,1
77,rommeed01,171,119,500,249,147,29,7669,2729,1006,138,724,599,3.58,0.0,34,31.0,5,10873.0,182,1213,0.0,0.0,0.0,13,0.0,0,50.28,1920 - 1932,Eddie Rommel,1
78,johnssy01,112,117,542,210,82,43,6497,2290,977,173,488,920,5.340000000000001,0.0,22,48.0,3,9124.0,201,1099,0.0,0.0,0.0,19,0.0,0,29.41,1922 - 1940,Syl Johnson,1
79,shautjo01,99,109,360,208,103,18,5455,2097,838,75,534,512,3.86,0.0,34,24.0,3,7928.0,102,1043,0.0,0.0,0.0,13,0.0,0,14.42,1922 - 1934,Joe Shaute,1
80,bentola01,127,128,455,258,122,22,6891,2559,1029,109,691,670,4.41,0.0,47,25.0,1,9864.0,113,1190,0.0,0.0,0.0,13,0.0,0,19.79,1923 - 1935,Larry Benton,1
81,bushgu01,176,136,542,308,151,34,8166,2950,1166,152,859,850,4.950000000000001,0.0,51,41.0,2,11750.0,145,1369,0.0,0.0,0.0,17,0.0,0,21.97,1923 - 1945,Guy Bush,1
82,lucasre01,157,135,396,301,204,7,7626,2736,1051,136,455,602,4.170000000000001,0.0,7,23.0,6,10648.0,70,1198,0.0,0.0,0.0,15,0.0,0,32.68,1923 - 1938,Red Lucas,1
83,lyonste01,260,230,594,484,356,23,12483,4489,1696,223,1121,1073,5.72,0.0,55,31.0,6,17846.0,92,2056,0.0,0.0,0.0,21,1.0,BBWAA,66.76,1923 - 1946,Ted Lyons,1
84,marbefi01,148,88,551,187,86,101,6202,2049,834,96,686,822,4.07,0.0,14,38.0,4,8769.0,271,971,0.0,0.0,0.0,14,0.0,0,31.74,1923 - 1936,Firpo Marberry,1
85,rootch01,201,160,632,341,177,40,9592,3252,1274,187,889,1459,4.51,0.0,22,79.0,3,13529.0,185,1467,0.0,0.0,0.0,17,0.0,0,37.48,1923 - 1941,Charlie Root,1
86,walberu01,155,141,544,307,140,32,7932,2795,1223,163,1031,1085,4.359999999999999,0.0,40,27.0,2,11538.0,145,1423,0.0,0.0,0.0,15,0.0,0,38.91,1923 - 1937,Rube Walberg,1
87,whiteea01,218,185,541,473,226,11,10694,3917,1726,192,1431,1350,4.650000000000001,0.0,43,101.0,6,15795.0,46,2018,0.0,0.0,0.0,17,0.0,0,36.11,1923 - 1939,Earl Whitehill,1
88,ruffire01,273,225,624,536,335,16,13032,4284,1833,254,1541,1987,5.930000000000001,0.0,46,58.0,7,18579.0,71,2117,0.0,0.0,0.0,22,1.0,Run Off,55.35,1924 - 1947,Red Ruffing,1
89,fitzsfr01,217,146,513,426,186,13,9671,3335,1257,186,846,870,5.410000000000001,0.0,58,33.0,3,13570.0,64,1505,0.0,0.0,0.0,19,0.0,0,33.6,1925 - 1943,Freddie Fitzsimmons,1
90,grovele01,300,141,616,457,298,55,11822,3849,1339,162,1187,2266,4.31,0.0,51,42.0,1,16633.0,123,1594,0.0,0.0,0.0,17,1.0,BBWAA,113.25,1925 - 1941,Lefty Grove,1
91,smithbo02,106,139,435,229,128,40,6739,2472,983,132,670,618,3.91,0.0,11,18.0,4,9652.0,156,1139,0.0,0.0,0.0,13,0.0,0,23.68,1923 - 1937,Bob Smith,1
92,hadlebu01,161,165,528,355,135,25,8837,2980,1389,167,1442,1318,4.91,0.0,71,66.0,5,13034.0,108,1609,0.0,0.0,0.0,16,0.0,0,35.27,1926 - 1941,Bump Hadley,1
93,hudliwi01,158,156,491,328,155,31,7840,3011,1281,118,846,677,5.659999999999999,0.0,41,44.0,9,11546.0,105,1491,0.0,0.0,0.0,16,0.0,0,30.6,1926 - 1944,Willis Hudlin,1
94,macfada01,132,159,465,332,158,9,8118,2981,1191,112,872,797,5.4,0.0,20,64.0,3,11805.0,76,1395,0.0,0.0,0.0,17,0.0,0,25.98,1926 - 1943,Danny MacFayden,1
95,russeja01,85,141,557,182,71,38,6152,2454,1017,83,571,418,5.050000000000001,0.0,22,29.0,5,9020.0,209,1187,0.0,0.0,0.0,15,0.0,0,18.03,1926 - 1940,Jack Russell,1
96,applepe01,57,66,341,71,34,26,3423,1187,545,76,486,420,4.54,0.0,32,26.0,1,5044.0,186,667,0.0,0.0,0.0,14,0.0,0,8.02,1927 - 1945,Pete Appleton,1
97,coffmdi01,72,95,472,132,47,38,4381,1782,755,92,463,372,4.829999999999999,0.0,17,35.0,1,6542.0,194,894,0.0,0.0,0.0,15,0.0,0,7.99,1927 - 1945,Dick Coffman,1
