,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,WAR
3225,scarbra01,80,85,318,168,59,12,4286,1487,656,88,611,564,3.460000000000001,,30,44.0,4,6297.0,75,755,,,,10,0.0,,10.2
3226,shumaha01,0,0,30,0,0,0,152,56,25,1,20,10,0.5700000000000001,,1,2.0,0,227.0,19,35,,,,3,0.0,,-0.55
3227,spahnwa01,363,245,750,665,382,29,15731,4830,1798,434,1434,2583,5.41,,81,42.0,5,21547.0,68,2016,,,,21,1.0,BBWAA,92.48
3228,tostlo01,10,11,39,23,5,0,466,159,63,14,56,46,1.2,,3,4.0,0,671.0,6,72,,,,3,0.0,,1.25
3229,voisebi01,74,84,245,190,74,3,4120,1370,585,115,588,645,2.45,,23,15.0,0,5994.0,21,676,,,,9,0.0,,12.34
3230,wallale01,5,6,51,14,4,0,434,133,66,9,64,51,0.7,,8,4.0,1,632.0,14,73,,,,3,0.0,,0.5599999999999999
3231,webbele01,23,19,154,25,7,14,1296,434,201,25,201,141,2.4299999999999997,,15,7.0,1,1907.0,63,221,,,,6,0.0,,1.99
3232,wyseha01,79,70,251,159,67,8,3773,1338,492,66,373,362,2.6300000000000003,,10,24.0,2,5353.0,52,581,,,,8,0.0,,12.47
3233,alderda01,0,1,16,3,0,0,107,52,26,4,12,11,0.69,,0,0.0,0,168.0,9,30,,,,2,0.0,,-1.13
3234,arntzor01,4,13,32,20,9,0,493,172,77,5,69,66,0.27,,2,5.0,0,708.0,7,85,,,,1,0.0,,0.33
3235,barnere02,35,31,155,81,20,1,1793,474,286,48,410,336,1.3199999999999998,,21,15.0,4,2593.0,30,328,,,,6,0.0,,1.6599999999999997
3236,blackdo01,34,55,154,113,37,1,2391,803,385,46,400,293,1.58,,13,13.0,0,3519.0,21,425,,,,6,0.0,,-1.53
3237,bowlech01,1,4,10,6,3,0,154,52,25,3,27,17,0.52,,0,0.0,0,226.0,4,29,,,,2,0.0,,-0.13999999999999999
3238,brazlal01,97,64,441,117,47,60,4130,1387,506,84,492,554,2.5900000000000007,,22,25.0,3,5853.0,178,589,,,,10,0.0,,21.41
3239,brownno01,0,1,5,1,0,0,43,13,5,2,6,4,0.44,,0,0.0,0,64.0,1,12,,,,2,0.0,,-0.37
3240,burrojo01,0,3,30,2,0,2,130,40,27,0,28,22,0.93,,1,3.0,0,199.0,17,31,,,,2,0.0,,-0.63
3241,byerlbu01,22,22,237,17,4,14,1475,519,202,34,167,209,3.2299999999999995,,14,9.0,1,2127.0,120,242,,,,11,0.0,,5.47
3242,byrneto01,85,69,281,170,65,12,4086,1138,622,98,1037,766,3.5000000000000004,,28,85.0,4,6181.0,72,688,,,,13,0.0,,6.34
3243,candimi01,26,21,174,37,13,8,1613,530,234,18,250,183,1.97,,8,3.0,3,2334.0,66,258,,,,8,0.0,,4.21
3244,cardobe01,0,6,36,5,1,1,323,127,57,6,54,34,0.9100000000000001,,3,3.0,0,496.0,24,65,,,,3,0.0,,-0.15999999999999998
3245,carpele01,0,0,4,0,0,0,10,1,0,0,4,1,0.12,,1,1.0,0,13.0,2,0,,,,1,0.0,,0.32
3246,ciolalo01,1,3,12,3,2,0,131,48,27,2,22,7,0.27,,0,1.0,0,203.0,7,33,,,,1,0.0,,-0.93
3247,clydeto01,0,0,4,0,0,0,18,7,6,1,4,0,0.3,,0,1.0,0,32.0,1,8,,,,1,0.0,,-0.39
3248,cuccuco01,3,5,62,9,0,5,510,188,86,7,81,51,0.9199999999999999,,1,4.0,0,760.0,25,113,,,,3,0.0,,-1.2
3249,curtive01,0,1,16,1,0,0,90,30,19,1,19,10,0.72,,4,0.0,0,138.0,8,19,,,,3,0.0,,-0.27
3250,dagenjo01,1,0,2,1,1,0,33,9,0,0,4,2,0.22,,1,2.0,0,46.0,1,2,,,,1,0.0,,0.4
3251,donahde01,0,2,8,0,0,0,40,22,10,0,3,3,0.65,,1,1.0,0,64.0,6,11,,,,2,0.0,,-0.4
3252,eyricge01,0,0,9,0,0,0,56,27,7,1,9,5,0.34,,0,0.0,0,90.0,6,8,,,,1,0.0,,0.21
